path,file_name,label,label_encoded
/kaggle/input/vegetable-image-dataset/Vegetable Images/train/Carrot/0971.jpg,0971.jpg,Carrot,7
/kaggle/input/vegetable-image-dataset/Vegetable Images/train/Bitter_Gourd/0956.jpg,0956.jpg,Bitter_Gourd,1
/kaggle/input/vegetable-image-dataset/Vegetable Images/validation/Radish/1263.jpg,1263.jpg,Radish,13
/kaggle/input/vegetable-image-dataset/Vegetable Images/validation/Brinjal/1200.jpg,1200.jpg,Brinjal,3
/kaggle/input/vegetable-image-dataset/Vegetable Images/validation/Potato/1340.jpg,1340.jpg,Potato,11
/kaggle/input/vegetable-image-dataset/Vegetable Images/train/Tomato/0157.jpg,0157.jpg,Tomato,14
/kaggle/input/vegetable-image-dataset/Vegetable Images/train/Cauliflower/0455.jpg,0455.jpg,Cauliflower,8
/kaggle/input/vegetable-image-dataset/Vegetable Images/train/Potato/0613.jpg,0613.jpg,Potato,11
/kaggle/input/vegetable-image-dataset/Vegetable Images/validation/Papaya/1166.jpg,1166.jpg,Papaya,10
/kaggle/input/vegetable-image-dataset/Vegetable Images/train/Bitter_Gourd/0961.jpg,0961.jpg,Bitter_Gourd,1
/kaggle/input/vegetable-image-dataset/Vegetable Images/validation/Tomato/1225.jpg,1225.jpg,Tomato,14
/kaggle/input/vegetable-image-dataset/Vegetable Images/test/Cauliflower/1168.jpg,1168.jpg,Cauliflower,8
/kaggle/input/vegetable-image-dataset/Vegetable Images/train/Bitter_Gourd/0072.jpg,0072.jpg,Bitter_Gourd,1
/kaggle/input/vegetable-image-dataset/Vegetable Images/train/Cucumber/0751.jpg,0751.jpg,Cucumber,9
/kaggle/input/vegetable-image-dataset/Vegetable Images/train/Cabbage/0185.jpg,0185.jpg,Cabbage,5
/kaggle/input/vegetable-image-dataset/Vegetable Images/test/Bottle_Gourd/1092.jpg,1092.jpg,Bottle_Gourd,2
/kaggle/input/vegetable-image-dataset/Vegetable Images/test/Tomato/1023.jpg,1023.jpg,Tomato,14
